Depot,Ent.Date,Contract,Description,HireRate,Period,Qty,Ord%,StartDate,P.EndDate,StaffEntered
VIC ELECTRONICS,16/06/2025,HC22867,C Size Amber VMS,45,DAY,20,20,8/07/2025,20/10/2025,Brett Imberger
VIC ELECTRONICS,16/06/2025,HC22867,Transportation,2700,SALE,1,20,8/07/2025,20/10/2025,Brett Imberger
VIC ELECTRONICS,16/06/2025,HC22867,Transportation,2700,SALE,1,20,8/07/2025,20/10/2025,Brett Imberger
VIC ELECTRONICS,16/06/2025,HC22867,Insurance Charges,,SALE,1,20,8/07/2025,20/10/2025,Brett Imberger
VIC ELECTRONICS,13/06/2025,HC22858,Transportation,1400,SALE,1,,14/06/2025,27/06/2025,Ross Marshall
VIC ELECTRONICS,13/06/2025,HC22858,Transportation,2910,SALE,1,,14/06/2025,27/06/2025,Ross Marshall
VIC ELECTRONICS,13/06/2025,HC22858,Armorzone Water Filled Barrier MASH,2.2,DAY,70,,14/06/2025,27/06/2025,Ross Marshall
VIC ELECTRONICS,5/03/2025,HC20922,Transportation,8750,SALE,1,,5/03/2025,5/03/2025,David Marsland
VIC ELECTRONICS,5/03/2025,HC20922,Transportation,8750,SALE,1,,5/03/2025,5/03/2025,David Marsland
VIC ELECTRONICS,14/07/2025,HC23378,Quadguard 100 km system,27.5,DAY,31,,25/08/2025,22/02/2027,David Marsland
VIC ELECTRONICS,14/07/2025,HC23378,Transportation,5460,SALE,1,,25/08/2025,22/02/2027,David Marsland
VIC ELECTRONICS,14/07/2025,HC23378,Transportation,5460,SALE,1,,25/08/2025,22/02/2027,David Marsland
VIC ELECTRONICS,14/07/2025,HC23378,Absorb-M 80km System,20,DAY,5,,25/08/2025,22/02/2027,David Marsland
VIC ELECTRONICS,4/03/2025,HC20917,Trailer Mounted VSLS,18,DAY,20,,21/04/2025,20/04/2027,David Marsland
VIC ELECTRONICS,4/03/2025,HC20917,Transportation,1700,SALE,1,,21/04/2025,20/04/2027,David Marsland
VIC ELECTRONICS,4/03/2025,HC20917,Transportation,1700,SALE,1,,21/04/2025,20/04/2027,David Marsland
VIC ELECTRONICS,4/03/2025,HC20917,Insurance Charges,,SALE,1,,21/04/2025,20/04/2027,David Marsland
VIC ELECTRONICS,4/03/2025,HC20917,Hire Accessories,25,MONTH,20,,21/04/2025,20/04/2027,David Marsland
VIC ELECTRONICS,24/01/2024,HC13989,Raptors,50,DAY,1,70,1/10/2025,1/12/2025,Tomas Hill
VIC ELECTRONICS,24/01/2024,HC13989,Transportation,550,SALE,1,70,1/10/2025,1/12/2025,Tomas Hill
VIC ELECTRONICS,24/01/2024,HC13989,Transportation,550,SALE,1,70,1/10/2025,1/12/2025,Tomas Hill
VIC ELECTRONICS,5/02/2025,HC20410,C Size Amber VMS,50,DAY,6,,19/02/2025,20/03/2025,Ross Marshall
VIC ELECTRONICS,5/02/2025,HC20410,Transportation,510,SALE,1,,19/02/2025,20/03/2025,Ross Marshall
VIC ELECTRONICS,5/02/2025,HC20410,Transportation,510,SALE,1,,19/02/2025,20/03/2025,Ross Marshall
VIC ELECTRONICS,5/02/2025,HC20410,Insurance Charges,,SALE,1,,19/02/2025,20/03/2025,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Absorb-M 80km System,28,DAY,4,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Miscellaneous Charges,718.8,SOR,24,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,3480,SOR,8,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,3480,SOR,8,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,8640,SOR,48,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,8640,SOR,48,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Highway Guard 6m Section,4.2,DAY,75,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Highway Guard 10 degree T Connector,6,DAY,2,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,1560,SOR,8,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,1560,SOR,8,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,2480,SOR,16,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Concrete Barrier Install,2480,SOR,16,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,9/09/2025,HC24414,Consumables,1980,SOR,44,,9/09/2025,,Ross Marshall
VIC ELECTRONICS,17/12/2024,HC19717,Directional LED Lighting Tower,90,DAY,10,,10/03/2025,11/03/2025,Tomas Hill
VIC ELECTRONICS,17/12/2024,HC19717,Transportation,1425,SALE,1,,10/03/2025,11/03/2025,Tomas Hill
VIC ELECTRONICS,17/12/2024,HC19717,Transportation,1425,SALE,1,,10/03/2025,11/03/2025,Tomas Hill
VIC ELECTRONICS,17/12/2024,HC19717,Insurance Charges,,SALE,1,,10/03/2025,11/03/2025,Tomas Hill
VIC ELECTRONICS,4/02/2025,HC20387,Directional LED Lighting Tower,80,DAY,9,100,31/12/2025,1/01/2026,Tomas Hill
VIC ELECTRONICS,4/02/2025,HC20387,C Size Amber VMS,50,DAY,4,100,31/12/2025,1/01/2026,Tomas Hill
VIC ELECTRONICS,4/02/2025,HC20387,Transportation,3200,SALE,1,100,31/12/2025,1/01/2026,Tomas Hill
VIC ELECTRONICS,4/02/2025,HC20387,Transportation,3200,SALE,1,100,31/12/2025,1/01/2026,Tomas Hill
VIC ELECTRONICS,4/02/2025,HC20387,Insurance Charges,,SALE,1,100,31/12/2025,1/01/2026,Tomas Hill
VIC ELECTRONICS,15/01/2025,HC20008,RPM Hire Labour,1680,SOR,16,,23/02/2025,23/02/2025,Ross Marshall
VIC ELECTRONICS,15/01/2025,HC20008,Transportation,660,SALE,1,,23/02/2025,23/02/2025,Ross Marshall
VIC ELECTRONICS,15/01/2025,HC20008,Transportation,660,SALE,1,,23/02/2025,23/02/2025,Ross Marshall
VIC ELECTRONICS,15/01/2025,HC20008,HVM Barriers,850,DAY,6,,23/02/2025,23/02/2025,Ross Marshall
VIC ELECTRONICS,22/11/2024,HC19317,C Size Amber VMS,40,DAY,1,90,2/06/2025,29/06/2025,Tomas Hill
VIC ELECTRONICS,22/11/2024,HC19317,Transportation,480,SALE,1,90,2/06/2025,29/06/2025,Tomas Hill
VIC ELECTRONICS,22/11/2024,HC19317,Transportation,480,SALE,1,90,2/06/2025,29/06/2025,Tomas Hill
VIC ELECTRONICS,22/11/2024,HC19317,Insurance Charges,,SALE,1,90,2/06/2025,29/06/2025,Tomas Hill
